Id,hf_score
0,6.6164771579999995
1,8.191890553
2,5.190547615
3,8.00801767
4,8.380703637
5,8.480457213
6,6.698857887999999
7,8.760105158
8,7.29088558
9,6.763731861
10,5.084809744
11,7.0808480970000005
12,5.766097892
13,6.8833527960000005
14,7.295919861000001
15,5.6153627870000005
16,8.149323236
17,8.155990167999999
18,7.863355202
19,7.637595222000001
20,6.899931894
21,5.283514408
22,6.887385411
23,8.629381029
24,8.00589731
25,6.830380012999999
26,6.408104005
27,7.165817275
28,8.475679069
29,8.233432487
30,8.31107695
31,6.275227501
32,6.390797986
33,7.034437082
34,6.849277146
35,4.935570731
36,6.903894719
37,6.716589367
38,8.214829659
39,5.895358395
40,5.753550532
41,6.172414624
42,7.208984756
43,8.451403071
44,8.857580854
45,8.171659215
46,8.462595689
47,6.851247363
48,9.126312939
49,7.83524065
50,6.9745781220000005
51,7.014409184
52,5.308628393
53,6.771338651000001
54,6.935415823
55,6.481700872
56,8.349684134
57,6.46563917
58,5.473526401
59,6.709794702000001
60,8.440461275
61,7.533718326
62,7.56033998
63,8.599675186
64,3.765826877
65,8.161824436
66,6.86715054
67,7.642747366
68,6.441134794
69,8.319542986
70,6.9318852
71,8.582219227000001
72,6.564180956
73,8.075037522
74,7.033950991
75,6.83582588
76,7.236088907999999
77,8.484574296
78,5.1393562489999995
79,6.476556007
80,7.085144176
81,8.027501015
82,6.321342351
83,6.921105000000001
84,5.794556957
85,6.283035269
86,6.9140673679999995
87,6.010441361
88,5.352743427
89,5.194328288
90,8.465697018
91,6.7392392789999995
92,8.194760582999999
93,6.8309981870000005
94,8.68717383
95,6.536132686
96,8.315692151
97,8.004390532999999
98,8.543022951000001
99,6.907810101
100,6.206025992000001
101,7.6448314029999995
102,6.205384819
103,7.241401801
104,6.549999467
105,6.572693667
106,6.874152216000001
107,8.527786174
108,6.407364322
109,7.199052729
110,6.555737389
111,6.620113589
112,7.642391212000001
113,7.035120011
114,7.050049727999999
115,4.25327767
116,6.604089144
117,8.532902597
118,6.5199474870000005
119,6.669026833999999
120,6.283135204
121,7.153167226
122,5.09740352
123,8.818141443
124,5.354951097
125,5.935594714
126,6.674289283999999
127,4.969729536
128,6.7180544520000005
129,7.2307235720000005
130,5.96247423
131,7.798267752999999
132,5.693807144
133,5.397044971000001
134,8.345543595
135,6.422788156
136,6.333774971
137,7.770346829
138,7.848782998
139,6.748533581
140,6.825223193999999
141,6.0637811070000005
142,8.50930254
143,5.2137563060000005
144,6.589263747
145,8.112196958
146,5.569967951000001
147,7.9762129360000005
148,5.135886055
149,7.898468542000001
150,5.994838944
151,6.615681342999999
152,7.455517242999999
153,6.371672233
